# Title: CAIDA-AS 
# Directed graph: as-caida20071105.txt
# The CAIDA AS Relationships Dataset, from 11 05 2007
# Relationships:	-1 (<FromNodeId> is a customer of <ToNodeId>)
# 			1 (<FromNodeId> is a provider of <ToNodeId>)
# 			0 (<FromNodeId> and <ToNodeId> are peers)
# 			2 (<FromNodeId> and <ToNodeId> are siblings (the same organization).)
# Nodes:26475	Edges: 106762
# FromNodeId        ToNodeId	Relationship
8563	3216  
8563	21482  
8563	4323  
28801	8422  
28801	8220  
8434	39052  
8434	2119  
8434	41060  
8434	16150  
8434	30798  
8434	39242  
8434	35565  
8434	28942  
8434	24959  
8434	3303  
8434	34541  
8434	39324  
8434	34244  
8434	43098  
8434	13237  
8434	41980  
8434	21171  
8434	34946  
8434	28908  
8434	15950  
8434	12384  
8434	702  
8434	174  
8434	21200  
8434	38956  
8434	13243  
8434	24713  
8434	28726  
8434	2603  
8434	29217  
8434	25475  
8434	13177  
8434	25387  
8434	41808  
8434	3356  
8434	25217  
8434	29422  
5006	20283  
5006	11619  
5006	21902  
5006	25637  
5006	17162  
5006	18581  
5006	22506  
5006	16904  
5006	21730  
5006	32461  
5006	14219  
5006	7018  
5006	1347	2
5006	32664  
5006	36203  
5006	23359  
5006	22402  
5006	18778  
5006	19039  
5006	21951  
5006	10337  
5006	29847  
5006	18699  
5006	32110  
5006	7973  
5006	36784  
5006	18723  
5006	33362  
5006	40328  
5006	30220  
5006	10765  
5006	78  
5006	15011  
5006	33455  
5006	25720  
5006	701  
5006	15100  
5006	21573  
5006	23377  
5006	8148  
5006	26557  
5006	14738  
5006	555  
5006	3549  
5006	23465  
5006	11332  
5006	11544  
42368	20485  
42517	25525  
29429	8447  
29429	8220  
27850	11556  
27850	26608  
31922	17054  
18581	6395  
18581	5006  
7652	4825  
7652	17409  
35097	6830  
35097	21040  
22537	21637  
22537	23126  
41336	25328  
41336	25528  
38720	9583  
12798	8851  
17773	17633  
17773	4837  
17773	9800  
2634	3356  
2634	7018  
1785	27344  
1785	26814  
1785	18564  
1785	21704  
1785	30397  
1785	26197  
1785	3303  
1785	22252  
1785	39940  
1785	11931  
1785	11452  
1785	32401  
1785	22597  
1785	25816  
1785	13237  
1785	6316	2
1785	2516  
1785	26055  
1785	32861  
1785	10493  
1785	17344  
1785	19674  
1785	33480  
1785	20145  
1785	33319  
1785	20286  
1785	6939  
1785	6260  
1785	11701  
